id,restaurant_id,review
1,188,The ambiance was cozy and inviting
2,936,The prices were reasonable for the portion sizes and quality of the food.
3,222,The restaurant had a great atmosphere
4,260,The food was delicious and the service was excellent.
5,538,The restaurant had a great atmosphere
6,985,The prices were reasonable for the portion sizes and quality of the food.
7,144,The staff was friendly and attentive
8,480,I would definitely recommend this restaurant to friends and family.
9,27,The portions were generous and the presentation of the dishes was beautiful.
10,334,The food was delicious and the service was excellent.
11,386,The prices were reasonable for the portion sizes and quality of the food.
12,521,I was disappointed with the quality of the food and the slow service.
13,759,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
14,993,The ambiance was cozy and inviting
15,245,The food was delicious and the service was excellent.
16,482,I was disappointed with the quality of the food and the slow service.
17,257,but the prices were a bit high.
18,588,The food was delicious and the service was excellent.
19,1,I had a wonderful dining experience and will definitely be returning in the future.
20,75,but the prices were a bit high.
21,950,I had a wonderful dining experience and will definitely be returning in the future.
22,296,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
23,920,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
24,799,I was disappointed with the quality of the food and the slow service.
25,514,I would definitely recommend this restaurant to friends and family.
26,802,The food was delicious and the service was excellent.
27,38,The staff was friendly and attentive
28,577,I would definitely recommend this restaurant to friends and family.
29,353,I would definitely recommend this restaurant to friends and family.
30,288,I was disappointed with the quality of the food and the slow service.
31,831,The prices were reasonable for the portion sizes and quality of the food.
32,604,The ambiance was cozy and inviting
33,9,The ambiance was cozy and inviting
34,966,The staff was friendly and attentive
35,540,The prices were reasonable for the portion sizes and quality of the food.
36,692,The portions were generous and the presentation of the dishes was beautiful.
37,117,I was disappointed with the quality of the food and the slow service.
38,930,The prices were reasonable for the portion sizes and quality of the food.
39,606,The ambiance was cozy and inviting
40,954,but the prices were a bit high.
41,209,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
42,572,but the menu options were limited.
43,732,but the menu options were limited.
44,271,making for a pleasant dining experience.
45,323,but the prices were a bit high.
46,472,but the menu options were limited.
47,862,The food was delicious and the service was excellent.
48,33,The food was delicious and the service was excellent.
49,935,The portions were generous and the presentation of the dishes was beautiful.
50,39,The ambiance was cozy and inviting
51,707,I would definitely recommend this restaurant to friends and family.
52,318,The ambiance was cozy and inviting
53,540,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
54,18,The prices were reasonable for the portion sizes and quality of the food.
55,432,The ambiance was cozy and inviting
56,833,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
57,639,I had a wonderful dining experience and will definitely be returning in the future.
58,88,The ambiance was cozy and inviting
59,247,The prices were reasonable for the portion sizes and quality of the food.
60,373,The restaurant had a great atmosphere
61,818,The prices were reasonable for the portion sizes and quality of the food.
62,107,The food was delicious and the service was excellent.
63,229,The prices were reasonable for the portion sizes and quality of the food.
64,788,but the menu options were limited.
65,268,The food was delicious and the service was excellent.
66,761,making for a pleasant dining experience.
67,51,The ambiance was cozy and inviting
68,873,I would definitely recommend this restaurant to friends and family.
69,968,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
70,264,I had a wonderful dining experience and will definitely be returning in the future.
71,881,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
72,916,I had a wonderful dining experience and will definitely be returning in the future.
73,375,I would definitely recommend this restaurant to friends and family.
74,756,but the menu options were limited.
75,107,The food was delicious and the service was excellent.
76,45,The restaurant had a great atmosphere
77,916,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
78,442,I was disappointed with the quality of the food and the slow service.
79,591,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
80,524,The food was delicious and the service was excellent.
81,740,I had a wonderful dining experience and will definitely be returning in the future.
82,514,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
83,428,The ambiance was cozy and inviting
84,817,but the prices were a bit high.
85,25,I would definitely recommend this restaurant to friends and family.
86,55,The prices were reasonable for the portion sizes and quality of the food.
87,229,I was disappointed with the quality of the food and the slow service.
88,808,but the prices were a bit high.
89,117,The portions were generous and the presentation of the dishes was beautiful.
90,92,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
91,434,I would definitely recommend this restaurant to friends and family.
92,556,making for a pleasant dining experience.
93,69,but the prices were a bit high.
94,767,but the menu options were limited.
95,59,The food was delicious and the service was excellent.
96,309,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
97,753,but the prices were a bit high.
98,856,I was disappointed with the quality of the food and the slow service.
99,942,The prices were reasonable for the portion sizes and quality of the food.
100,89,but the menu options were limited.
101,282,The portions were generous and the presentation of the dishes was beautiful.
102,5,The ambiance was cozy and inviting
103,170,The food was delicious and the service was excellent.
104,901,I was disappointed with the quality of the food and the slow service.
105,215,I was disappointed with the quality of the food and the slow service.
106,487,The portions were generous and the presentation of the dishes was beautiful.
107,489,The food was delicious and the service was excellent.
108,348,The restaurant had a great atmosphere
109,491,The staff was friendly and attentive
110,745,but the prices were a bit high.
111,658,The food was delicious and the service was excellent.
112,903,The ambiance was cozy and inviting
113,975,I was disappointed with the quality of the food and the slow service.
114,905,making for a pleasant dining experience.
115,687,I would definitely recommend this restaurant to friends and family.
116,261,but the prices were a bit high.
117,201,The ambiance was cozy and inviting
118,855,The ambiance was cozy and inviting
119,804,The food was delicious and the service was excellent.
120,680,The staff was friendly and attentive
121,435,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
122,9,The staff was friendly and attentive
123,901,I would definitely recommend this restaurant to friends and family.
124,247,The staff was friendly and attentive
125,571,The staff was friendly and attentive
126,459,The food was delicious and the service was excellent.
127,671,but the prices were a bit high.
128,564,The ambiance was cozy and inviting
129,935,but the menu options were limited.
130,306,The ambiance was cozy and inviting
131,790,I was disappointed with the quality of the food and the slow service.
132,645,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
133,428,but the prices were a bit high.
134,807,but the menu options were limited.
135,858,I had a wonderful dining experience and will definitely be returning in the future.
136,45,The prices were reasonable for the portion sizes and quality of the food.
137,778,but the prices were a bit high.
138,390,I was disappointed with the quality of the food and the slow service.
139,347,The prices were reasonable for the portion sizes and quality of the food.
140,772,The prices were reasonable for the portion sizes and quality of the food.
141,485,The staff was friendly and attentive
142,863,The ambiance was cozy and inviting
143,998,but the prices were a bit high.
144,519,but the prices were a bit high.
145,251,The staff was friendly and attentive
146,929,The portions were generous and the presentation of the dishes was beautiful.
147,192,The prices were reasonable for the portion sizes and quality of the food.
148,608,I would definitely recommend this restaurant to friends and family.
149,950,I had a wonderful dining experience and will definitely be returning in the future.
150,409,I had a wonderful dining experience and will definitely be returning in the future.
151,319,I would definitely recommend this restaurant to friends and family.
152,662,but the prices were a bit high.
153,967,The food was delicious and the service was excellent.
154,333,The staff was friendly and attentive
155,317,The food was delicious and the service was excellent.
156,176,The portions were generous and the presentation of the dishes was beautiful.
157,437,The portions were generous and the presentation of the dishes was beautiful.
158,395,I would definitely recommend this restaurant to friends and family.
159,871,but the menu options were limited.
160,955,I was disappointed with the quality of the food and the slow service.
161,704,I had a wonderful dining experience and will definitely be returning in the future.
162,861,The restaurant had a great atmosphere
163,179,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
164,872,The staff was friendly and attentive
165,999,The staff was friendly and attentive
166,63,The ambiance was cozy and inviting
167,419,The food was delicious and the service was excellent.
168,868,but the menu options were limited.
169,612,but the prices were a bit high.
170,525,The staff was friendly and attentive
171,743,I was disappointed with the quality of the food and the slow service.
172,942,I would definitely recommend this restaurant to friends and family.
173,95,The food was delicious and the service was excellent.
174,953,The ambiance was cozy and inviting
175,434,I would definitely recommend this restaurant to friends and family.
176,835,I had a wonderful dining experience and will definitely be returning in the future.
177,240,making for a pleasant dining experience.
178,360,I would definitely recommend this restaurant to friends and family.
179,968,but the prices were a bit high.
180,447,The food was delicious and the service was excellent.
181,762,The portions were generous and the presentation of the dishes was beautiful.
182,658,making for a pleasant dining experience.
183,294,The ambiance was cozy and inviting
184,671,I had a wonderful dining experience and will definitely be returning in the future.
185,380,The staff was friendly and attentive
186,508,The ambiance was cozy and inviting
187,965,The restaurant had a great atmosphere
188,337,making for a pleasant dining experience.
189,45,I had a wonderful dining experience and will definitely be returning in the future.
190,515,The food was delicious and the service was excellent.
191,742,making for a pleasant dining experience.
192,169,but the menu options were limited.
193,170,The portions were generous and the presentation of the dishes was beautiful.
194,906,The food was delicious and the service was excellent.
195,52,I had a wonderful dining experience and will definitely be returning in the future.
196,533,The food was delicious and the service was excellent.
197,463,The food was delicious and the service was excellent.
198,226,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
199,36,making for a pleasant dining experience.
200,253,The restaurant had a great atmosphere
201,829,The prices were reasonable for the portion sizes and quality of the food.
202,427,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
203,180,The prices were reasonable for the portion sizes and quality of the food.
204,299,making for a pleasant dining experience.
205,603,The food was delicious and the service was excellent.
206,193,but the menu options were limited.
207,782,The portions were generous and the presentation of the dishes was beautiful.
208,851,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
209,815,The prices were reasonable for the portion sizes and quality of the food.
210,66,The ambiance was cozy and inviting
211,781,The staff was friendly and attentive
212,347,making for a pleasant dining experience.
213,580,The ambiance was cozy and inviting
214,680,I had a wonderful dining experience and will definitely be returning in the future.
215,207,I was disappointed with the quality of the food and the slow service.
216,102,The prices were reasonable for the portion sizes and quality of the food.
217,800,The food was delicious and the service was excellent.
218,855,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
219,958,making for a pleasant dining experience.
220,867,I would definitely recommend this restaurant to friends and family.
221,96,making for a pleasant dining experience.
222,208,making for a pleasant dining experience.
223,611,The portions were generous and the presentation of the dishes was beautiful.
224,567,I was disappointed with the quality of the food and the slow service.
225,892,The prices were reasonable for the portion sizes and quality of the food.
226,241,The restaurant had a great atmosphere
227,539,The food was delicious and the service was excellent.
228,655,I was disappointed with the quality of the food and the slow service.
229,833,but the prices were a bit high.
230,636,I had a wonderful dining experience and will definitely be returning in the future.
231,490,I was disappointed with the quality of the food and the slow service.
232,951,The ambiance was cozy and inviting
233,535,The staff was friendly and attentive
234,623,I was disappointed with the quality of the food and the slow service.
235,242,making for a pleasant dining experience.
236,444,I had a wonderful dining experience and will definitely be returning in the future.
237,80,but the prices were a bit high.
238,565,I had a wonderful dining experience and will definitely be returning in the future.
239,133,but the prices were a bit high.
240,399,I had a wonderful dining experience and will definitely be returning in the future.
241,814,I was disappointed with the quality of the food and the slow service.
242,664,I had a wonderful dining experience and will definitely be returning in the future.
243,685,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
244,451,The restaurant had a great atmosphere
245,539,The food was delicious and the service was excellent.
246,456,The prices were reasonable for the portion sizes and quality of the food.
247,338,but the menu options were limited.
248,327,I would definitely recommend this restaurant to friends and family.
249,541,I was disappointed with the quality of the food and the slow service.
250,15,I was disappointed with the quality of the food and the slow service.
251,952,The food was delicious and the service was excellent.
252,840,making for a pleasant dining experience.
253,84,The restaurant had a great atmosphere
254,734,The restaurant had a great atmosphere
255,309,The food was delicious and the service was excellent.
256,728,making for a pleasant dining experience.
257,549,The portions were generous and the presentation of the dishes was beautiful.
258,108,but the prices were a bit high.
259,884,The portions were generous and the presentation of the dishes was beautiful.
260,651,I would definitely recommend this restaurant to friends and family.
261,601,The prices were reasonable for the portion sizes and quality of the food.
262,681,The portions were generous and the presentation of the dishes was beautiful.
263,99,The restaurant had a great atmosphere
264,120,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
265,855,The staff was friendly and attentive
266,327,The food was delicious and the service was excellent.
267,600,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
268,747,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
269,804,I had a wonderful dining experience and will definitely be returning in the future.
270,848,I was disappointed with the quality of the food and the slow service.
271,106,but the prices were a bit high.
272,273,The restaurant had a great atmosphere
273,800,I had a wonderful dining experience and will definitely be returning in the future.
274,734,I was disappointed with the quality of the food and the slow service.
275,560,but the menu options were limited.
276,608,The food was delicious and the service was excellent.
277,337,The food was delicious and the service was excellent.
278,160,The food was delicious and the service was excellent.
279,86,The portions were generous and the presentation of the dishes was beautiful.
280,502,but the menu options were limited.
281,751,but the prices were a bit high.
282,649,I had a wonderful dining experience and will definitely be returning in the future.
283,555,but the menu options were limited.
284,24,The staff was friendly and attentive
285,610,but the menu options were limited.
286,301,but the menu options were limited.
287,387,making for a pleasant dining experience.
288,269,making for a pleasant dining experience.
289,522,but the prices were a bit high.
290,989,I was disappointed with the quality of the food and the slow service.
291,483,I was disappointed with the quality of the food and the slow service.
292,587,but the prices were a bit high.
293,217,The food was delicious and the service was excellent.
294,700,but the prices were a bit high.
295,924,The staff was friendly and attentive
296,6,The food was delicious and the service was excellent.
297,387,The food was delicious and the service was excellent.
298,298,The prices were reasonable for the portion sizes and quality of the food.
299,202,I was disappointed with the quality of the food and the slow service.
300,925,The staff was friendly and attentive
301,478,I had a wonderful dining experience and will definitely be returning in the future.
302,163,I had a wonderful dining experience and will definitely be returning in the future.
303,967,but the prices were a bit high.
304,997,The prices were reasonable for the portion sizes and quality of the food.
305,792,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
306,851,The prices were reasonable for the portion sizes and quality of the food.
307,592,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
308,181,The staff was friendly and attentive
309,389,I had a wonderful dining experience and will definitely be returning in the future.
310,818,The ambiance was cozy and inviting
311,462,I would definitely recommend this restaurant to friends and family.
312,787,I would definitely recommend this restaurant to friends and family.
313,75,but the menu options were limited.
314,661,making for a pleasant dining experience.
315,965,I had a wonderful dining experience and will definitely be returning in the future.
316,679,I would definitely recommend this restaurant to friends and family.
317,166,I was disappointed with the quality of the food and the slow service.
318,823,The portions were generous and the presentation of the dishes was beautiful.
319,640,making for a pleasant dining experience.
320,649,I was disappointed with the quality of the food and the slow service.
321,747,but the menu options were limited.
322,758,The food was delicious and the service was excellent.
323,875,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
324,541,making for a pleasant dining experience.
325,699,The restaurant had a great atmosphere
326,385,I was disappointed with the quality of the food and the slow service.
327,221,I had a wonderful dining experience and will definitely be returning in the future.
328,93,The restaurant had a great atmosphere
329,882,The food was delicious and the service was excellent.
330,511,I was disappointed with the quality of the food and the slow service.
331,948,but the menu options were limited.
332,687,The portions were generous and the presentation of the dishes was beautiful.
333,956,The portions were generous and the presentation of the dishes was beautiful.
334,725,The prices were reasonable for the portion sizes and quality of the food.
335,418,I was disappointed with the quality of the food and the slow service.
336,282,making for a pleasant dining experience.
337,185,I was disappointed with the quality of the food and the slow service.
338,176,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
339,198,The staff was friendly and attentive
340,196,The ambiance was cozy and inviting
341,716,but the menu options were limited.
342,878,but the menu options were limited.
343,327,The staff was friendly and attentive
344,867,The portions were generous and the presentation of the dishes was beautiful.
345,924,making for a pleasant dining experience.
346,722,I had a wonderful dining experience and will definitely be returning in the future.
347,814,The prices were reasonable for the portion sizes and quality of the food.
348,671,The prices were reasonable for the portion sizes and quality of the food.
349,695,The restaurant had a great atmosphere
350,709,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
351,694,I would definitely recommend this restaurant to friends and family.
352,595,but the prices were a bit high.
353,318,The portions were generous and the presentation of the dishes was beautiful.
354,22,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
355,291,The prices were reasonable for the portion sizes and quality of the food.
356,130,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
357,789,but the prices were a bit high.
358,955,The portions were generous and the presentation of the dishes was beautiful.
359,301,but the prices were a bit high.
360,313,The portions were generous and the presentation of the dishes was beautiful.
361,728,I had a wonderful dining experience and will definitely be returning in the future.
362,321,The portions were generous and the presentation of the dishes was beautiful.
363,116,The food was delicious and the service was excellent.
364,152,I had a wonderful dining experience and will definitely be returning in the future.
365,262,The ambiance was cozy and inviting
366,396,but the prices were a bit high.
367,979,The food was delicious and the service was excellent.
368,824,I would definitely recommend this restaurant to friends and family.
369,907,I had a wonderful dining experience and will definitely be returning in the future.
370,208,The ambiance was cozy and inviting
371,60,The prices were reasonable for the portion sizes and quality of the food.
372,606,making for a pleasant dining experience.
373,572,The food was delicious and the service was excellent.
374,630,The food was delicious and the service was excellent.
375,952,The restaurant had a great atmosphere
376,937,but the prices were a bit high.
377,490,I had a wonderful dining experience and will definitely be returning in the future.
378,679,I would definitely recommend this restaurant to friends and family.
379,179,The portions were generous and the presentation of the dishes was beautiful.
380,785,but the prices were a bit high.
381,665,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
382,715,The food was delicious and the service was excellent.
383,935,The ambiance was cozy and inviting
384,701,The staff was friendly and attentive
385,52,The restaurant had a great atmosphere
386,310,I would definitely recommend this restaurant to friends and family.
387,624,I was disappointed with the quality of the food and the slow service.
388,108,making for a pleasant dining experience.
389,888,The food was delicious and the service was excellent.
390,890,I would definitely recommend this restaurant to friends and family.
391,77,I had a wonderful dining experience and will definitely be returning in the future.
392,896,I was disappointed with the quality of the food and the slow service.
393,128,I would definitely recommend this restaurant to friends and family.
394,838,The staff was friendly and attentive
395,836,I was disappointed with the quality of the food and the slow service.
396,794,making for a pleasant dining experience.
397,58,The ambiance was cozy and inviting
398,177,I would definitely recommend this restaurant to friends and family.
399,642,The ambiance was cozy and inviting
400,519,I had a wonderful dining experience and will definitely be returning in the future.
401,777,The restaurant had a great atmosphere
402,592,The staff was friendly and attentive
403,957,but the prices were a bit high.
404,386,The prices were reasonable for the portion sizes and quality of the food.
405,592,The portions were generous and the presentation of the dishes was beautiful.
406,353,but the prices were a bit high.
407,85,The food was delicious and the service was excellent.
408,623,but the menu options were limited.
409,905,I was disappointed with the quality of the food and the slow service.
410,534,I would definitely recommend this restaurant to friends and family.
411,370,The ambiance was cozy and inviting
412,386,The restaurant had a great atmosphere
413,878,The restaurant had a great atmosphere
414,746,I was disappointed with the quality of the food and the slow service.
415,212,but the menu options were limited.
416,221,The portions were generous and the presentation of the dishes was beautiful.
417,434,The food was delicious and the service was excellent.
418,884,I had a wonderful dining experience and will definitely be returning in the future.
419,235,I was disappointed with the quality of the food and the slow service.
420,578,The restaurant had a great atmosphere
421,572,making for a pleasant dining experience.
422,808,I would definitely recommend this restaurant to friends and family.
423,975,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
424,610,The food was delicious and the service was excellent.
425,699,I would definitely recommend this restaurant to friends and family.
426,405,but the prices were a bit high.
427,673,but the menu options were limited.
428,828,The food was delicious and the service was excellent.
429,381,I had a wonderful dining experience and will definitely be returning in the future.
430,980,I had a wonderful dining experience and will definitely be returning in the future.
431,320,The restaurant had a great atmosphere
432,869,The food was delicious and the service was excellent.
433,532,I was disappointed with the quality of the food and the slow service.
434,789,I had a wonderful dining experience and will definitely be returning in the future.
435,716,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
436,766,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
437,283,The staff was friendly and attentive
438,122,making for a pleasant dining experience.
439,246,but the prices were a bit high.
440,66,The prices were reasonable for the portion sizes and quality of the food.
441,340,I would definitely recommend this restaurant to friends and family.
442,710,The staff was friendly and attentive
443,678,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
444,545,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
445,363,The portions were generous and the presentation of the dishes was beautiful.
446,112,The staff was friendly and attentive
447,243,The staff was friendly and attentive
448,849,The ambiance was cozy and inviting
449,155,making for a pleasant dining experience.
450,926,I would definitely recommend this restaurant to friends and family.
451,249,The prices were reasonable for the portion sizes and quality of the food.
452,97,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
453,47,but the menu options were limited.
454,924,I was disappointed with the quality of the food and the slow service.
455,543,The prices were reasonable for the portion sizes and quality of the food.
456,329,The staff was friendly and attentive
457,917,I would definitely recommend this restaurant to friends and family.
458,343,but the prices were a bit high.
459,763,The restaurant had a great atmosphere
460,540,The prices were reasonable for the portion sizes and quality of the food.
461,669,The food was delicious and the service was excellent.
462,388,The prices were reasonable for the portion sizes and quality of the food.
463,872,I was disappointed with the quality of the food and the slow service.
464,501,I had a wonderful dining experience and will definitely be returning in the future.
465,681,but the prices were a bit high.
466,554,but the menu options were limited.
467,356,The restaurant had a great atmosphere
468,146,The staff was friendly and attentive
469,994,I had a wonderful dining experience and will definitely be returning in the future.
470,194,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
471,822,but the prices were a bit high.
472,296,I was disappointed with the quality of the food and the slow service.
473,770,The restaurant had a great atmosphere
474,292,I had a wonderful dining experience and will definitely be returning in the future.
475,196,I was disappointed with the quality of the food and the slow service.
476,265,making for a pleasant dining experience.
477,294,making for a pleasant dining experience.
478,865,The restaurant had a great atmosphere
479,872,The ambiance was cozy and inviting
480,49,The food was delicious and the service was excellent.
481,678,I would definitely recommend this restaurant to friends and family.
482,689,The portions were generous and the presentation of the dishes was beautiful.
483,401,The prices were reasonable for the portion sizes and quality of the food.
484,199,The ambiance was cozy and inviting
485,928,The restaurant had a great atmosphere
486,135,but the prices were a bit high.
487,507,The prices were reasonable for the portion sizes and quality of the food.
488,958,but the prices were a bit high.
489,268,The food was delicious and the service was excellent.
490,823,The prices were reasonable for the portion sizes and quality of the food.
491,997,The prices were reasonable for the portion sizes and quality of the food.
492,743,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
493,719,The portions were generous and the presentation of the dishes was beautiful.
494,791,but the menu options were limited.
495,880,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
496,611,The ambiance was cozy and inviting
497,711,I had a wonderful dining experience and will definitely be returning in the future.
498,178,The restaurant had a unique and creative menu that was a refreshing change from the usual options.
